"codsubcuenta","concepto","codcontrapartida","debe","haber","id","idasientopre","orden"
"6931.A","Pérdidas deterioro mercaderías","","B","","237","91","0"
"390.A","Deterioro de valor mercaderías","","","B","238","91","5"
"206.A","Alta aplicación informática (software)","","B","","239","92","0"
"472.A","IVA soportado software","","C","","240","92","5"
"523.A","Proveedor inmovilizado a corto plazo","","","Z","241","92","10"
"628.A","Combustible / gasolina","","B","","242","93","0"
"472.A","IVA soportado gasolina 21%","","C","","243","93","5"
"570.A","Pago en efectivo (caja)","","","Z","244","93","10"
"629.A","Parking o peaje","","B","","245","94","0"
"472.A","IVA soportado parking 21%","","C","","246","94","5"
"570.A","Pago en efectivo (caja)","","","Z","247","94","10"
"629.A","Comida / dieta de empresa","","B","","248","95","0"
"472.A","IVA soportado comida 10%","","C","","249","95","5"
"570.A","Pago en efectivo (caja)","","","Z","250","95","10"
"624.A","Taxi / transporte urbano","","B","","251","96","0"
"472.A","IVA soportado taxi 10%","","C","","252","96","5"
"570.A","Pago en efectivo (caja)","","","Z","253","96","10"
"602.A","Material de oficina","","B","","254","97","0"
"472.A","IVA soportado material 21%","","C","","255","97","5"
"570.A","Pago en efectivo (caja)","","","Z","256","97","10"
"602.A","Pequeño material / ferretería","","B","","257","98","0"
"472.A","IVA soportado pequeño material 21%","","C","","258","98","5"
"570.A","Pago en efectivo (caja)","","","Z","259","98","10"
"629.A","Farmacia / botiquín empresa","","B","","260","99","0"
"472.A","IVA soportado farmacia","","C","","261","99","5"
"570.A","Pago en efectivo (caja)","","","Z","262","99","10"
"629.A","Hotel / alojamiento empleado en viaje","","B","","263","100","0"
"472.A","IVA soportado hotel 10%","","C","","264","100","5"
"570.A","Pago en efectivo (caja)","","","Z","265","100","10"
"629.A","Gasto con tarjeta bancaria","","B","","266","101","0"
"472.A","IVA soportado gasto tarjeta","","C","","267","101","5"
"572.A","Pago con tarjeta banco","","","Z","268","101","10"
"629.A","Tickets varios gastos menores","","B","","269","102","0"
"472.A","IVA soportado tickets varios","","C","","270","102","5"
"570.A","Pago en efectivo caja","","","Z","271","102","10"
"602.A","Compra otros aprovisionamientos","","B","","272","103","0"
"472.A","IVA soportado 21%","","C","","273","103","5"
"400.A","Proveedor acreedor","","","Z","274","103","10"
"623.A","Honorarios profesional (sin retención)","","B","","275","104","0"
"472.A","IVA soportado honorarios 21%","","C","","276","104","5"
"410.A","Acreedor profesional","","","Z","277","104","10"
"625.A","Prima de seguro (gasto del ejercicio)","","B","","278","105","0"
"410.A","Acreedor aseguradora","","","B","279","105","5"
"430.A","Cliente deudor (base + IVA)","","Z","","280","106","0"
"705.A","Prestación de servicios","","","B","281","106","5"
"477.A","IVA repercutido 21%","","","C","282","106","10"
"572.A","Cobro factura banco","","Z","","283","107","0"
"473.A","Retención IRPF soportada (nos retienen)","","C","","284","107","5"
"430.A","Cancelación deuda cliente","","","B","285","107","10"
"407.A","Anticipo a proveedor","","B","","286","108","0"
"472.A","IVA soportado anticipo","","C","","287","108","5"
"572.A","Pago anticipo banco","","","Z","288","108","10"
"572.A","Cobro anticipo banco","","Z","","289","109","0"
"477.A","IVA repercutido anticipo","","","C","290","109","5"
"438.A","Anticipo de cliente","","","B","291","109","10"
"600.A","Compra mercaderías (total)","","B","","292","110","0"
"472.A","IVA soportado total compra","","C","","293","110","5"
"407.A","Cancelación anticipo proveedor","","D","","294","110","10"
"400.A","Proveedor resto a pagar","","","Z","295","110","15"
"430.A","Cliente deudor (total factura)","","Z","","296","111","0"
"700.A","Venta mercaderías (total)","","","B","297","111","5"
"477.A","IVA repercutido total venta","","","C","298","111","10"
"438.A","Cancelación anticipo cliente","","","D","299","111","15"
"600.A","Compra mercaderías neta (con descuento)","","B","","300","112","0"
"6090.A","Descuento pronto pago sobre compra","","C","","301","112","5"
"472.A","IVA soportado sobre neto","","D","","302","112","10"
"400.A","Proveedor acreedor neto","","","Z","303","112","15"
"430.A","Cliente deudor neto (con descuento)","","Z","","304","113","0"
"700.A","Venta mercaderías bruta","","","B","305","113","5"
"7090.A","Descuento pronto pago sobre venta","","","C","306","113","10"
"477.A","IVA repercutido sobre neto","","","D","307","113","15"
"400.A","Rappel abonado por proveedor","","B","","308","114","0"
"6090.A","Rappel compras menor gasto","","","B","309","114","5"
"430.A","Rappel cargado a cliente","","","B","310","115","0"
"7090.A","Rappel ventas menor ingreso","","B","","311","115","5"
"600.A","Gasto suplido pagado por proveedor","","B","","312","116","0"
"555.A","Suplido pendiente de aplicación","","","B","313","116","5"
"400.A","Proveedor acreedor total","","","Z","314","116","10"
"555.A","Suplido recuperado del cliente","","B","","315","117","0"
"629.A","Gasto suplido repercutido al cliente","","","B","316","117","5"
"430.A","Cliente deudor suplido","","","Z","317","117","10"
"473.A","Pago fraccionado IS modelo 202","","B","","318","118","0"
"572.A","Pago banco modelo 202","","","B","319","118","5"
"669.A","Intereses de demora Hacienda","","B","","320","119","0"
"572.A","Pago banco intereses demora","","","B","321","119","5"
"659.A","Multa o sanción (no deducible en IS)","","B","","322","120","0"
"572.A","Pago banco sanción","","","B","323","120","5"
"436.A","Cliente de dudoso cobro","","B","","324","121","0"
"430.A","Baja saldo cliente ordinario","","","B","325","121","5"
